Id,Action
1,2.79562324
2,2.976594215
3,2.988462686
4,2.99405677
5,2.997462628
6,2.994915172
7,2.828839169
8,2.99466761
9,2.884192718
10,2.900717508
11,2.8691334
12,2.966240725
13,2.695334509
14,2.567341075
15,2.872058049
16,2.904189879
17,2.581985533
18,2.90083968
19,2.995233974
20,2.983832296
21,2.994997933
22,2.977884054
23,2.917240041
24,2.845957666
25,2.972184587
26,2.83345143
27,2.928779534
28,2.850414728
29,2.954485094
30,2.831383004
31,2.98914017
32,2.960360223
33,2.97144903
34,2.987038856
35,2.967308854
36,2.97787344
37,2.974567546
38,2.940159976
39,2.909102374
40,2.841573558
41,2.741653338
42,2.964600708
43,2.944470602
44,2.978912267
45,2.986094549
46,2.925420385
47,2.998816186
48,2.970082631
49,2.994909467
50,2.921969578
51,2.850853725
52,2.991673917
53,2.985534657
54,2.994759497
55,2.885698531
56,2.939997731
57,2.969917764
58,2.995151068
59,2.844979635
60,2.940133238
61,2.993631978
62,2.597378165
63,2.946877649
64,2.998963577
65,2.98143043
66,2.976870012
67,2.906151603
68,2.847652987
69,2.929349345
70,2.242712239
71,2.925382864
72,2.989407536
73,2.99278642
74,2.99467692
75,2.978484156
76,2.99057709
77,2.976519049
78,2.24896048
79,1.934579845
80,2.996909612
81,2.956754662
82,2.989071818
83,2.904138575
84,2.975595775
85,2.984960743
86,2.654854374
87,2.963218963
88,2.994295907
89,2.994752632
90,2.824212077
91,2.987050679
92,2.02670987
93,2.994342582
94,2.901343268
95,2.954273197
96,2.965115806
97,1.646451845
98,2.909049799
99,2.991159504
100,2.994127083
101,2.813537607
102,1.935046705
103,2.910914762
104,2.882038818
105,2.117920961
106,2.988160629
107,2.991449132
108,2.604123588
109,2.985619839
110,2.946452568
111,2.442293165
112,2.95775845
113,2.936911893
114,2.974884331
115,2.953766666
116,2.962125817
117,2.976724965
118,2.92096
119,2.949163742
120,2.968994082
121,2.813144559
122,2.985161347
123,2.701891993
124,2.943584435
125,2.987966219
126,2.808627909
127,2.585542486
128,2.777718476
129,2.73739298
130,2.667786
131,2.992870149
132,2.995338201
133,2.96088579
134,2.869187461
135,2.99856002
136,2.849208253
137,2.992778422
138,2.915492072
139,2.612566248
140,2.993520135
141,2.921176243
142,2.951640295
143,2.992840559
144,2.950649504
145,2.99576326
146,1.861729903
147,2.676686354
148,2.531223684
149,2.99871488
150,2.987897128
151,2.986196251
152,2.398360735
153,2.818397703
154,2.93952689
155,2.965450887
156,2.763803896
157,2.938162294
158,2.940200423
159,2.618348722
160,2.929281191
161,2.586803658
162,2.986559108
163,2.989458922
164,2.930621176
165,2.983029992
166,2.973276512
167,2.928771934
168,2.857925684
169,2.711737147
170,2.98858884
171,2.980144603
172,2.938747902
173,2.906807996
174,2.983056517
175,2.961224225
176,2.819884249
177,2.873647589
178,2.996572264
179,2.994903421
180,2.761032919
181,2.282628876
182,2.894384774
183,2.751968019
184,2.409551823
185,2.990641685
186,2.877902728
187,2.970326712
188,2.875759838
189,1.900897035
190,2.986288547
191,2.994051716
192,2.946701365
193,2.996994494
194,2.979870049
195,2.952175625
196,2.988838826
197,2.987896614
198,2.799922521
199,2.991556022
200,1.718610143
201,2.986726616
202,2.905456244
203,2.865193015
204,2.991261671
205,2.891049343
206,2.97479718
207,2.984917392
208,2.789264415
209,2.366283238
210,2.373508233
211,2.875460376
212,2.859871539
213,2.993552932
214,2.958665761
215,2.980457523
216,2.907276197
217,2.928048773
218,2.95205121
219,2.995214186
220,2.952842124
221,2.150892566
222,2.998810279
223,2.852064981
224,2.892840063
225,2.845256252
226,2.062614925
227,2.758993627
228,2.972376529
229,2.991404918
230,2.971567844
231,2.92817142
232,2.768984075
233,2.871533157
234,1.175384338
235,2.983278728
236,2.69630611
237,2.953611011
238,2.948547556
239,2.646789615
240,2.988206535
241,2.971237623
242,2.26326487
243,1.212975935
244,2.852711427
245,2.971209145
246,2.946389497
247,2.94614054
248,2.977170758
249,2.954922439
250,2.984075886
251,2.940823507
252,2.700756854
253,2.945458198
254,2.99945931
255,2.990064372
256,2.913734368
257,2.969742659
258,2.519641757
259,2.646056661
260,2.997549741
261,2.959137763
262,2.728993448
263,2.990359712
264,2.996192115
265,2.988218464
266,2.963291079
267,2.975564934
268,2.991365719
269,2.962206759
270,2.993133386
271,2.914010559
272,2.907678126
273,2.990510834
274,1.734202117
275,2.992617436
276,2.923365066
277,2.930720026
278,2.983431305
279,2.950205748
280,2.915393491
281,2.997367437
282,2.959483859
283,2.879854955
284,2.912685748
285,2.987480262
286,2.878109414
287,2.952480193
288,2.986702132
289,2.988173633
290,2.985011934
291,2.35852029
292,2.694901408
293,2.893916652
294,2.932599803
295,2.979058968
296,1.319503462
297,1.964507192
298,2.884878487
299,2.670299353
300,2.974536372
301,2.706097719
302,2.995287613
303,1.746223419
304,2.286296905
305,2.987455662
306,2.981491569
307,2.980037081
308,2.998948967
309,2.870740821
310,2.977049235
311,2.987722789
312,2.822671354
313,2.98448742
314,2.98517616
315,2.882571054
316,2.990157609
317,2.804641432
318,2.987551135
319,2.357188237
320,2.995239734
321,2.984821865
322,1.289689452
323,2.9972893
324,2.950866595
325,2.957767995
326,2.497044981
327,2.976271082
328,2.998430033
329,2.865863861
330,2.977399777
331,2.990398382
332,2.965926333
333,2.865793554
334,2.904063435
